% load S data (Sublimation from lakes)
%  time (years)     S (m year^-1) 
1994    0.253
1995    0.391
1996    0.379
1997    0.402
1998    0.340
1999    0.427
2000    0.426
2001    0.412
2002    0.343
2003    0.345
2004    0.337
2005    0.372
2006    0.390
2007    0.414
2008    0.411
2009    0.374
2010    0.358
2011    0.435
2012    0.231
2013    0.391
2014    0.379
2015    0.402
2016    0.340
2017    0.427
2018    0.426
2019    0.412
2020    0.343
2021    0.345
2022    0.337
2023    0.372
2024    0.390
2025    0.414
2026    0.411
2027    0.374
2028    0.358
2029    0.435
2030    0.231
