% load S data (Sublimation from lakes)
%  time (years)     S (m year^-1) 
1994    0.152
1995    0.270
1996    0.250
1997    0.283
1998    0.239
1999    0.278
2000    0.265
2001    0.274
2002    0.181
2003    0.237
2004    0.205
2005    0.231
2006    0.265
2007    0.244
2008    0.233
2009    0.201
2010    0.246
2011    0.335
2012    0.152
2013    0.270
2014    0.250
2015    0.283
2016    0.239
2017    0.278
2018    0.265
2019    0.274
2020    0.181
2021    0.237
2022    0.205
2023    0.231
2024    0.265
2025    0.244
2026    0.233
2027    0.201
2028    0.246
2029    0.335
2030    0.152
