% load S data (Sublimation from lakes)
%  time (years)     S (m year^-1) 
1994    0.128
1995    0.238
1996    0.211
1997    0.234
1998    0.223
1999    0.251
2000    0.248
2001    0.246
2002    0.174
2003    0.216
2004    0.193
2005    0.216
2006    0.241
2007    0.225
2008    0.217
2009    0.186
2010    0.217
2011    0.278
2012    0.114
2013    0.238
2014    0.211
2015    0.234
2016    0.223
2017    0.251
2018    0.248
2019    0.246
2020    0.174
2021    0.216
2022    0.193
2023    0.216
2024    0.241
2025    0.225
2026    0.217
2027    0.186
2028    0.217
2029    0.278
2030    0.114
