% measured lake bonney data
% date      lake h delta (m year^-1) 
3/31/1996   0
1/24/1997   0.01
1/17/1998   -0.02
11/25/1998  -0.14
1/26/1999   -0.05
10/19/1999  -0.17
1/19/2000   -0.16
11/29/2000  -0.37
12/7/2001   -0.46
1/16/2002   0.33
11/23/2002  0.36
12/31/2002  0.33
11/19/2003  0.39
1/29/2004   0.69
11/19/2004  0.54
1/31/2005   0.84
11/22/2005  0.664
11/22/2005  0.928
1/31/2006   1.0769616
1/26/2007   1.190652
11/8/2007   1.04
1/7/2008    1.18
1/26/2008   1.27
12/14/2008  1.05
1/29/2009   1.71
1/29/2009   1.71
11/18/2009  1.58
12/3/2009   1.565
1/22/2010   1.71
11/8/2010   1.645
1/28/2011   2.4675588
11/8/2011   2.35
1/30/2012   2.6045664
11/7/2012   2.7
1/31/2013   3.02275
11/18/2013  3.006
1/22/2014   3.522
1/31/2014   3.507
11/15/2014  3.35
11/23/2015  3.36
1/25/2016   3.6325
11/17/2016  3.46
2/2/2017    3.653
11/19/2017  3.51
1/27/2018   3.5607
