% measured lake hoare data
% date 		lake h delta (m year^-1) 
3/31/1996   0
12/11/1996  -0.11
12/12/1996  -0.11
12/18/1996  -0.09
12/19/1996  -0.07
12/20/1996  -0.07
12/21/1996  -0.08
12/22/1996  -0.08
12/23/1996  -0.06
12/24/1996  -0.05
12/25/1996  -0.06
12/26/1996  -0.07
12/27/1996  -0.07
12/29/1996  -0.07
12/30/1996  -0.07
10/28/1997  -0.1
11/9/1997   -0.15
10/25/1999  -0.13
12/20/1999  -0.17
12/27/1999  -0.14
1/4/2000    -0.14
1/11/2000   -0.15
1/17/2000   -0.15
1/24/2000   -0.15
11/28/2000  -0.3
11/23/2001  -0.46
12/6/2001   -0.41
12/11/2001  -0.37
12/19/2001  -0.34
12/23/2001  -0.19
12/29/2001  -0.23
1/30/2002   0.1
11/3/2002   0.07
11/11/2003  0
1/29/2004   0.05
11/13/2004  -0.08
11/14/2004  -0.04
1/28/2005   0.11
11/11/2005  0.023
1/29/2006   0.169968
11/8/2007   0.18
1/8/2008    0.25
1/26/2008   0.29
10/29/2008  0.19
1/29/2009   0.48
11/25/2009  0.56
10/29/2010  0.44
1/27/2011   0.66
11/2/2011   0.62
11/2/2011   0.63
1/30/2012   0.83
10/22/2012  0.76
1/29/2013   0.872
11/14/2013  0.803
1/22/2014   1.129
1/30/2014   1.159
11/4/2014   1.038
1/29/2015   1.1345
11/4/2015   1.073
1/26/2016   1.263
10/13/2016  1.188
1/29/2017   1.196
11/29/2017  1.093
1/28/2018   1.1593
