% measured lake bonney data
% date      lake h delta (m year^-1) 
1/26/91		-0.12
9/12/92		0.05
12/9/92		0.05
1/23/95		-0.01
1/24/96		0
1/24/97		0
1/17/98		-0.03
11/25/98	-0.15
1/26/99		-0.06
10/19/99	-0.18
1/19/00		-0.17
11/29/00	-0.38
12/7/01		-0.47
1/16/02		0.32
11/23/02	0.35
12/31/02	0.32
11/19/03	0.38
1/29/04		0.68
11/19/04	0.53
1/31/05		0.83
11/22/05	0.65
11/22/05	0.92
1/31/06		1.07
1/26/07		1.18
11/8/07		1.03
1/7/08		1.17
1/26/08		1.26
12/14/08	1.04
1/29/09		1.7
1/29/09		1.7
11/18/09	1.57
12/3/09		1.56
1/22/10		1.7
11/8/10		1.64
1/28/11		2.46
11/8/11		2.34
1/30/12		2.59
11/7/12		2.69
1/31/13		3.01
11/18/13	3
1/22/14		3.51
1/31/14		3.5
11/15/14	3.34
11/23/15	3.35
1/25/16		3.62
11/17/16	3.45
2/2/17		3.64
11/19/17	3.5
1/27/18		3.55
