% measured lake fryxell data
% date 		lake h delta (m year^-1) 
1/26/91		0.18
12/9/92		0.27
1/23/95		0.13
1/24/96		0
1/24/97		0
11/5/97		-0.12
1/23/99		-0.12
11/12/99	-0.11
1/25/00		-0.22
12/1/00		-0.35
12/5/01		-0.48
12/29/01	-0.29
1/17/02		0.17
11/10/02	0.06
1/30/03		0.28
11/17/03	0.06
1/21/04		0.08
11/21/04	-0.02
1/2/05		0.17
11/17/05	0.08
1/20/06		0.2
11/17/06	0.15
1/22/07		0.2
11/14/07	0.16
1/3/08		0.2
1/28/08		0.21
11/8/08		0.08
1/27/09		0.5
11/14/09	0.44
10/22/10	0.44
1/1/11		0.79
10/24/11	0.76
10/24/11	0.76
1/26/12		0.91
11/1/12		0.82
1/24/13		0.91
11/27/13	1.03
1/23/14		1.22
11/4/14		1.07
10/27/15	1.02
1/15/16		1.14
11/8/16		1.18
2/3/17		1.19
12/6/17		1.09
1/23/18		1.12
