% measured lake hoare data
% date 		lake h delta (m year^-1) 
1/26/1991   0.12
12/9/1992   0.12
11/25/1993  0.00
1/22/1994   0.05
12/3/1994   0.00
12/4/1994   0.00
12/5/1994   0.01
12/6/1994   0.00
12/7/1994   -0.01
12/8/1994   0.00
12/9/1994   0.00
12/10/1994  0.00
12/11/1994  0.00
12/12/1994  -0.01
12/13/1994  0.00
12/14/1994  -0.01
12/15/1994  -0.01
12/16/1994  0.00
12/17/1994  -0.01
12/18/1994  -0.01
12/19/1994  0.00
12/20/1994  0.00
12/21/1994  0.00
12/22/1994  0.00
12/23/1994  0.00
12/24/1994  0.00
12/25/1994  -0.01
12/26/1994  0.00
12/27/1994  -0.01
12/28/1994  -0.01
12/29/1994  -0.01
12/30/1994  0.00
12/31/1994  -0.01
1/1/1995    0.00
1/2/1995    0.00
1/4/1995    0.00
1/5/1995    0.01
1/6/1995    0.00
1/7/1995    0.01
1/8/1995    0.00
1/9/1995    0.00
1/10/1995   0.01
1/11/1995   0.01
1/12/1995   0.01
1/13/1995   0.00
1/14/1995   0.01
1/15/1995   0.01
1/16/1995   0.01
1/17/1995   0.01
1/18/1995   0.01
1/19/1995   0.01
1/20/1995   0.01
1/21/1995   0.01
1/22/1995   0.00
1/23/1995   -0.01
1/24/1995   0.00
1/25/1995   0.00
1/25/1995   0.00
11/20/1995  -0.06
1/25/1996   -0.01
12/11/1996  -0.12
12/12/1996  -0.12
12/18/1996  -0.10
12/19/1996  -0.08
12/20/1996  -0.08
12/21/1996  -0.09
12/22/1996  -0.09
12/23/1996  -0.07
12/24/1996  -0.06
12/25/1996  -0.07
12/26/1996  -0.08
12/27/1996  -0.08
12/29/1996  -0.08
12/30/1996  -0.08
10/28/1997  -0.11
11/9/1997   -0.16
10/25/1999  -0.14
12/20/1999  -0.18
12/27/1999  -0.15
1/4/2000    -0.15
1/11/2000   -0.16
1/17/2000   -0.16
1/24/2000   -0.16
11/28/2000  -0.31
11/23/2001  -0.47
12/6/2001   -0.42
12/11/2001  -0.38
12/19/2001  -0.35
12/23/2001  -0.20
12/29/2001  -0.24
1/30/2002   0.09
11/3/2002   0.06
11/11/2003  -0.01
1/29/2004   0.04
11/13/2004  -0.09
11/14/2004  -0.05
1/28/2005   0.10
11/11/2005  0.01
1/29/2006   0.16
11/8/2007   0.17
1/8/2008    0.24
1/26/2008   0.28
10/29/2008  0.18
1/29/2009   0.47
11/25/2009  0.55
10/29/2010  0.43
1/27/2011   0.65
11/2/2011   0.61
11/2/2011   0.62
1/30/2012   0.82
10/22/2012  0.75
1/29/2013   0.86
11/14/2013  0.79
1/22/2014   1.12
1/30/2014   1.15
11/4/2014   1.03
1/29/2015   1.12
11/4/2015   1.06
1/26/2016   1.25
10/13/2016  1.18
1/29/2017   1.19
11/29/2017  1.08
1/28/2018   1.15
