% measured lake hoare data
% date 		lake h delta (m year^-1) 
1/26/91		0.2
12/9/92		0.2
11/25/93	0.08
1/22/94		0.13
12/3/94		0.08
12/4/94		0.08
12/5/94		0.09
12/6/94		0.08
12/7/94		0.07
12/8/94		0.08
12/9/94		0.08
12/10/94	0.08
12/11/94	0.08
12/12/94	0.07
12/13/94	0.08
12/14/94	0.07
12/15/94	0.07
12/16/94	0.08
12/17/94	0.07
12/18/94	0.07
12/19/94	0.08
12/20/94	0.08
12/21/94	0.08
12/22/94	0.08
12/23/94	0.08
12/24/94	0.08
12/25/94	0.07
12/26/94	0.08
12/27/94	0.07
12/28/94	0.07
12/29/94	0.07
12/30/94	0.08
12/31/94	0.07
1/1/95		0.08
1/2/95		0.08
1/4/95		0.08
1/5/95		0.09
1/6/95		0.08
1/7/95		0.09
1/8/95		0.08
1/9/95		0.08
1/10/95		0.09
1/11/95		0.09
1/12/95		0.09
1/13/95		0.08
1/14/95		0.09
1/15/95		0.09
1/16/95		0.09
1/17/95		0.09
1/18/95		0.09
1/19/95		0.09
1/20/95		0.09
1/21/95		0.09
1/22/95		0.08
1/23/95		0.07
1/24/95		0.08
1/25/95		0.08
1/25/95		0.08
11/20/95	0.02
1/25/96		0.07
12/11/96	-0.04
12/12/96	-0.04
12/18/96	-0.02
12/19/96	0
12/20/96	0
12/21/96	-0.01
12/22/96	-0.01
12/23/96	0.01
12/24/96	0.02
12/25/96	0.01
12/26/96	0
12/27/96	0
12/29/96	0
12/30/96	0
1/24/97		0
10/28/97	-0.03
11/9/97		-0.08
10/25/99	-0.06
12/20/99	-0.1
12/27/99	-0.07
1/4/00		-0.07
1/11/00		-0.08
1/17/00		-0.08
1/24/00		-0.08
11/28/00	-0.23
11/23/01	-0.39
12/6/01		-0.34
12/11/01	-0.3
12/19/01	-0.27
12/23/01	-0.12
12/29/01	-0.16
1/30/02		0.17
11/3/02		0.14
11/11/03	0.07
1/29/04		0.12
11/13/04	-0.01
11/14/04	0.03
1/28/05		0.18
11/11/05	0.09
1/29/06		0.24
11/8/07		0.25
1/8/08		0.32
1/26/08		0.36
10/29/08	0.26
1/29/09		0.55
11/25/09	0.63
10/29/10	0.51
1/27/11		0.73
11/2/11		0.69
11/2/11		0.7
1/30/12		0.9
10/22/12	0.83
1/29/13		0.94
11/14/13	0.87
1/22/14		1.2
1/30/14		1.23
11/4/14		1.11
1/29/15		1.2
11/4/15		1.14
1/26/16		1.33
10/13/16	1.26
1/29/17		1.27
11/29/17	1.16
1/28/18		1.23
