% measured lake fryxell data
% date 		lake h delta (m year^-1) 
3/31/1996   0
1/24/1997   -0.13
11/5/1997   -0.25
1/23/1999   -0.25
11/12/1999  -0.24
1/25/2000   -0.35
12/1/2000   -0.48
12/5/2001   -0.61
12/29/2001  -0.42
1/17/2002   0.04
11/10/2002  -0.07
1/30/2003   0.15
11/17/2003  -0.07
1/21/2004   -0.05
11/21/2004  -0.15
1/2/2005    0.04
11/17/2005  -0.054
1/20/2006   0.07
11/17/2006  0.02
1/22/2007   0.07
11/14/2007  0.03
1/3/2008    0.07
1/28/2008   0.08
11/8/2008   -0.05
1/27/2009   0.37
11/14/2009  0.31
10/22/2010  0.31
1/1/2011    0.66
10/24/2011  0.63
10/24/2011  0.63
1/26/2012   0.78
11/1/2012   0.693
1/24/2013   0.784
11/27/2013  0.899
1/23/2014   1.094
11/4/2014   0.94
10/27/2015  0.89
1/15/2016   1.01
11/8/2016   1.05
2/3/2017    1.06
12/6/2017   0.96
1/23/2018   0.99
